date,sector_name,rolling_period,percentage_change
2024-11-08,basicMaterialsChangesPercentage,5-Day Rolling Change %,-1.5694507362578602
2024-11-07,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.33766665221940384
2024-11-06,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.0141998516101971
2024-11-05,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.05951706587574712
2024-11-04,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.46720317923758525
2024-11-01,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.4774903318909285
2024-10-31,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.10260269527222476
2024-10-30,basicMaterialsChangesPercentage,5-Day Rolling Change %,-1.0112869085847298
2024-10-29,basicMaterialsChangesPercentage,5-Day Rolling Change %,-1.3805116631531167
2024-10-28,basicMaterialsChangesPercentage,5-Day Rolling Change %,-1.3567873966235267
2024-10-25,basicMaterialsChangesPercentage,5-Day Rolling Change %,-1.877579081809544
2024-10-24,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.9118245145467441
2024-10-23,basicMaterialsChangesPercentage,5-Day Rolling Change %,-0.37592987116992216
2024-10-22,basicMaterialsChangesPercentage,5-Day Rolling Change %,1.1234356008571034
2024-10-21,basicMaterialsChangesPercentage,5-Day Rolling Change %,2.3620261375637996
2024-10-18,basicMaterialsChangesPercentage,5-Day Rolling Change %,3.4739198029320573
2024-10-17,basicMaterialsChangesPercentage,5-Day Rolling Change %,3.3181188850982535
2024-10-16,basicMaterialsChangesPercentage,5-Day Rolling Change %,3.059835649938303
2024-10-15,basicMaterialsChangesPercentage,5-Day Rolling Change %,2.4709775860422667
2024-10-14,basicMaterialsChangesPercentage,5-Day Rolling Change %,2.0413187226419938
2024-10-11,basicMaterialsChangesPercentage,5-Day Rolling Change %,1.1595395202773418
2024-10-10,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.2474765089813591
2024-10-09,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.0
2024-10-08,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.0
2024-10-07,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.0
2024-10-04,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.0
2024-10-03,basicMaterialsChangesPercentage,5-Day Rolling Change %,0.0
2024-11-08,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.4148268373340036
2024-11-07,basicMaterialsChangesPercentage,20-Day Rolling Change %,1.9256633174602467
2024-11-06,basicMaterialsChangesPercentage,20-Day Rolling Change %,1.6196584828458649
2024-11-05,basicMaterialsChangesPercentage,20-Day Rolling Change %,2.1308353687913506
2024-11-04,basicMaterialsChangesPercentage,20-Day Rolling Change %,3.5157556012023417
2024-11-01,basicMaterialsChangesPercentage,20-Day Rolling Change %,3.198831255682766
2024-10-31,basicMaterialsChangesPercentage,20-Day Rolling Change %,2.5240950703366183
2024-10-30,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-29,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-28,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-25,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-24,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-23,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-22,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-21,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-18,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-17,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-16,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-15,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-14,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-11,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-10,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-09,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-08,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-07,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-04,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-10-03,basicMaterialsChangesPercentage,20-Day Rolling Change %,0.0
2024-11-08,communicationServicesChangesPercentage,5-Day Rolling Change %,3.447202742218991
2024-11-07,communicationServicesChangesPercentage,5-Day Rolling Change %,4.199824888876869
2024-11-06,communicationServicesChangesPercentage,5-Day Rolling Change %,0.15100070894304984
2024-11-05,communicationServicesChangesPercentage,5-Day Rolling Change %,-3.1409189192104003
2024-11-04,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.218087670353419
2024-11-01,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.689112917019121
2024-10-31,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.893634246070975
2024-10-30,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.7262849102895763
2024-10-29,communicationServicesChangesPercentage,5-Day Rolling Change %,-1.0251327689660417
2024-10-28,communicationServicesChangesPercentage,5-Day Rolling Change %,-1.6170881124275671
2024-10-25,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.6088304476686623
2024-10-24,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.4252026641139439
2024-10-23,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.0214719511631674
2024-10-22,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.2720888976044278
2024-10-21,communicationServicesChangesPercentage,5-Day Rolling Change %,-1.847356756034646
2024-10-18,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.371633494765113
2024-10-17,communicationServicesChangesPercentage,5-Day Rolling Change %,-2.125253964291973
2024-10-16,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.8649776393057751
2024-10-15,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.8682100603765619
2024-10-14,communicationServicesChangesPercentage,5-Day Rolling Change %,0.45332642097148934
2024-10-11,communicationServicesChangesPercentage,5-Day Rolling Change %,-1.364241064119076
2024-10-10,communicationServicesChangesPercentage,5-Day Rolling Change %,-0.5977965312168987
2024-10-09,communicationServicesChangesPercentage,5-Day Rolling Change %,0.0
2024-10-08,communicationServicesChangesPercentage,5-Day Rolling Change %,0.0
2024-10-07,communicationServicesChangesPercentage,5-Day Rolling Change %,0.0
2024-10-04,communicationServicesChangesPercentage,5-Day Rolling Change %,0.0
2024-10-03,communicationServicesChangesPercentage,5-Day Rolling Change %,0.0
2024-11-08,communicationServicesChangesPercentage,20-Day Rolling Change %,-2.3203697157910153
2024-11-07,communicationServicesChangesPercentage,20-Day Rolling Change %,-1.386864184521508
2024-11-06,communicationServicesChangesPercentage,20-Day Rolling Change %,-3.428809044599679
2024-11-05,communicationServicesChangesPercentage,20-Day Rolling Change %,-5.224749124217709
2024-11-04,communicationServicesChangesPercentage,20-Day Rolling Change %,-5.148430569944984
2024-11-01,communicationServicesChangesPercentage,20-Day Rolling Change %,-6.863557348495775
2024-10-31,communicationServicesChangesPercentage,20-Day Rolling Change %,-5.927260420268543
2024-10-30,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-29,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-28,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-25,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-24,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-23,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-22,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-21,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-18,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-17,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-16,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-15,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-14,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-11,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-10,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-09,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-08,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-07,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-04,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-10-03,communicationServicesChangesPercentage,20-Day Rolling Change %,0.0
2024-11-08,consumerCyclicalChangesPercentage,5-Day Rolling Change %,3.573470020416769
2024-11-07,consumerCyclicalChangesPercentage,5-Day Rolling Change %,2.9435910156611955
2024-11-06,consumerCyclicalChangesPercentage,5-Day Rolling Change %,2.3638738836815776
2024-11-05,consumerCyclicalChangesPercentage,5-Day Rolling Change %,1.842042701792157
2024-11-04,consumerCyclicalChangesPercentage,5-Day Rolling Change %,0.33259718559530693
2024-11-01,consumerCyclicalChangesPercentage,5-Day Rolling Change %,-0.41045281463474304
2024-10-31,consumerCyclicalChangesPercentage,5-Day Rolling Change %,-0.7678239059945136
2024-10-30,consumerCyclicalChangesPercentage,5-Day Rolling Change %,2.0360898821939255
