symbol,date,gain/loss,changesPercentage
IDEX,2024-11-08,1,100.0
INOD,2024-11-08,1,75.7601
SEZL,2024-11-08,1,72.2681
DXYZ,2024-11-08,1,63.8009
SOND,2024-11-08,1,61.6236
INDI,2024-11-08,1,59.7668
TIVC,2024-11-08,1,55.8157
PRCH,2024-11-08,1,55.3648
AZI,2024-11-08,1,55.2147
AAOI,2024-11-08,1,55.0838
NCL,2024-11-08,1,48.8414
UPST,2024-11-08,1,46.0249
RIGL,2024-11-08,1,42.9404
API,2024-11-08,1,41.5344
SBNY,2024-11-08,1,41.2322
ANL,2024-11-08,1,40.4762
FOXO,2024-11-08,1,34.5267
DOCS,2024-11-08,1,34.1548
HGAS,2024-11-08,1,33.3913
AMPX,2024-11-08,1,33.0769
UEIC,2024-11-08,1,31.7102
LIPO,2024-11-08,1,31.3898
DEVS,2024-11-08,1,31.068
FTRE,2024-11-08,1,30.1939
TEM,2024-11-08,1,29.8996
NVCT,2024-11-08,1,29.6163
BNED,2024-11-08,1,29.4057
XPOF,2024-11-08,1,29.1339
EMKR,2024-11-08,1,28.692
AXON,2024-11-08,1,28.6784
WTER,2024-11-08,1,28.1027
CRGO,2024-11-08,1,27.5449
ZVIA,2024-11-08,1,27.5
UMAC,2024-11-08,1,26.9076
GOEV,2024-11-08,1,26.4275
VSME,2024-11-08,1,25.4098
MTNB,2024-11-08,1,25.3513
APYX,2024-11-08,1,24.5902
EXFY,2024-11-08,1,23.7374
SDOT,2024-11-08,1,23.4323
BE,2024-11-08,1,23.4302
TISI,2024-11-08,1,22.5912
CGBS,2024-11-08,1,22.4
TASK,2024-11-08,1,21.8006
AHT,2024-11-08,1,21.1876
SBET,2024-11-08,1,21.0614
AVXL,2024-11-08,1,21.0216
AIRS,2024-11-08,1,20.7232
AMSC,2024-11-08,1,20.5934
BSLK,2024-11-08,1,20.5882
EVH,2024-11-08,0,-45.6247
PRPH,2024-11-08,0,-45.4545
ELWS,2024-11-08,0,-44.5926
NXU,2024-11-08,0,-38.2232
ALVR,2024-11-08,0,-36.9333
CHSN,2024-11-08,0,-36.1632
RVNC,2024-11-08,0,-35.9862
MRVI,2024-11-08,0,-35.2679
AGL,2024-11-08,0,-34.0502
PXDT,2024-11-08,0,-33.3333
IONM,2024-11-08,0,-30.4229
NMHI,2024-11-08,0,-29.5746
AMN,2024-11-08,0,-29.0078
FIGS,2024-11-08,0,-28.3358
LPSN,2024-11-08,0,-28.1983
LTRX,2024-11-08,0,-27.6923
GTN,2024-11-08,0,-26.0794
CDTG,2024-11-08,0,-25.8933
CRDF,2024-11-08,0,-24.6944
PLAG,2024-11-08,0,-23.5357
LASR,2024-11-08,0,-23.5014
CUTR,2024-11-08,0,-23.0845
TRUG,2024-11-08,0,-22.2798
DUO,2024-11-08,0,-21.7391
FGL,2024-11-08,0,-21.3656
GETY,2024-11-08,0,-21.0526
ARDX,2024-11-08,0,-20.5329
ASTH,2024-11-08,0,-20.5146
AERT,2024-11-08,0,-19.6203
STKS,2024-11-08,0,-18.6224
TTOO,2024-11-08,0,-18.519
APPS,2024-11-08,0,-18.4358
ADEA,2024-11-08,0,-18.2399
HLGN,2024-11-08,0,-18.1818
CTSO,2024-11-08,0,-18.0509
SVVC,2024-11-08,0,-17.541
BLNK,2024-11-08,0,-16.9154
GDOT,2024-11-08,0,-16.7939
SISI,2024-11-08,0,-16.7275
YINN,2024-11-08,0,-16.6104
SERV,2024-11-08,0,-16.5282
TSLZ,2024-11-08,0,-16.4966
REBN,2024-11-08,0,-16.3934
GEVO,2024-11-08,0,-16.3158
AMRC,2024-11-08,0,-16.3085
TSLQ,2024-11-08,0,-16.2264
TSDD,2024-11-08,0,-16.1376
ASRT,2024-11-08,0,-15.8416
LEV,2024-11-08,0,-15.838
RDFN,2024-11-08,0,-15.6195
